gene	G14-1	G14-2	G14-3	448T-1	448T-2	448T-3	G179-1	G179-2	G179-3	559T-1	559T-2	559T-3
NHSL2	2	4	10	13	21	22	4	8	10	7	9	7
NICN1	189	328	423	352	563	616	844	1000	1237	398	270	208
NID1	522	771	873	1275	1130	1353	14797	14883	13579	876	967	1604
NID2	95	169	288	105	101	70	145	171	217	52	93	259
NIF3L1	177	194	180	222	167	172	494	467	405	160	119	79
NIFK	259	395	339	370	304	284	730	629	576	297	168	184
NIFK-AS1	28	35	43	31	34	25	75	87	111	39	34	25
NIM1K	17	30	71	38	55	69	139	190	290	315	189	139
NIN	1080	1505	1580	1013	825	926	3186	2597	1894	2669	1925	1252
NINJ1	333	464	683	140	167	178	539	638	901	291	205	222
NINJ2	0	0	0	0	2	0	2	2	3	1	1	2
NINL	209	297	483	105	138	143	373	419	506	241	153	160
NIP7	218	319	238	172	185	169	919	613	578	223	116	189
NIPA1	594	1093	1390	234	275	293	767	697	705	432	330	255
NIPA2	399	600	604	313	340	341	1129	1034	953	597	459	440
NIPAL1	55	87	99	0	0	0	9	16	12	1	2	2
NIPAL2	3	2	5	0	0	0	8	19	20	2	2	2
NIPAL3	452	754	998	754	851	977	208	270	294	705	493	439
NIPAL4	7	20	17	2	0	0	7	13	9	0	0	0
NIPBL	601	812	992	844	1044	1087	2302	2474	2470	1404	942	910
NIPSNAP1	584	874	1134	816	956	1059	3623	3782	3617	1157	760	954
NIPSNAP3A	163	255	251	116	187	203	570	620	653	119	99	89
NIPSNAP3B	7	13	11	14	17	15	18	27	30	5	3	5
NISCH	813	1281	1898	1847	2347	2716	2682	3277	4872	1814	1355	1439
NIT1	135	199	274	171	232	241	475	574	641	223	172	157
NIT2	198	373	389	263	219	240	746	631	525	182	133	132
NKAIN1	2	5	2	57	33	38	4	6	5	37	22	18
NKAIN2	0	0	0	0	0	0	0	0	2	2	1	0
NKAIN3	20	37	29	4	7	11	32	55	80	67	58	46
NKAIN4	0	0	0	25	64	62	5	1	3	317	324	156
NKAP	110	192	183	173	210	203	450	483	460	147	95	93
NKAPL	0	0	0	0	0	1	0	0	1	2	0	2
NKAPP1	8	8	12	9	14	11	21	17	34	14	9	9
NKD1	8	12	16	179	288	253	15	14	5	100	80	59
NKD2	0	1	2	0	0	0	0	0	0	1	6	4
NKG7	0	0	1	0	0	1	3	2	1	2	0	0
NKIRAS1	86	133	138	133	141	146	242	285	243	117	108	69
NKIRAS2	437	658	766	501	440	451	1134	1195	1117	654	437	476
NKPD1	3	8	7	13	22	17	7	13	20	13	5	7
NKRF	148	206	199	185	179	139	457	360	320	118	83	97
NKTR	829	1448	1636	1630	2461	2526	3589	3810	4679	1985	1378	1215
NKX1-2	0	0	2	0	0	0	0	0	0	0	0	0
NKX2-1	50	77	83	0	0	0	0	0	0	0	0	0
NKX2-1-AS1	2	4	3	0	0	0	0	0	0	0	0	0
NKX2-2	37	41	71	155	136	131	308	285	264	199	133	151
NKX2-3	0	0	1	0	0	0	0	1	1	0	0	0
NKX2-4	0	0	0	0	0	0	0	0	1	0	0	1
NKX2-5	183	239	221	0	0	0	0	0	1	51	29	34
NKX2-6	0	0	0	0	0	0	0	1	4	0	0	0
NKX2-8	21	25	32	0	0	0	0	0	0	0	0	0
NKX3-1	129	173	161	8	4	12	301	220	144	6	7	9
NKX3-2	4	3	8	4	3	3	3	5	9	22	14	13
